Candidate 0000121SAMUEL KWONG                                      0000001000000900
Candidate 0000131TIM E. DONNELLY                                   0000001000001000
Candidate 0000133DEAN PRESTON                                      0000001000001100
Candidate 0000135JOEL ENGARDIO                                     0000001000001200
Candidate 0000140MELISSA SAN MIGUEL                                0000001000001300
Candidate 0000144AHSHA SAFAI                                       0000001000001400
Candidate 0000122SHERMAN R. D'SILVA                                0000002000000900
Candidate 0000132AARON PESKIN                                      0000002000001000
Candidate 0000134LONDON BREED                                      0000002000001100
Candidate 0000136JOHN FARRELL                                      0000002000001200
Candidate 0000141HILLARY RONEN                                     0000002000001300
Candidate 0000145MAGDALENA DE GUZMAN                               0000002000001400
Candidate 0000003WRITE-IN                                          0000003000001010
Candidate 0000004WRITE-IN                                          0000003000001110
Candidate 0000123MARJAN PHILHOUR                                   0000003000000900
Candidate 0000137MIKE YOUNG                                        0000003000001200
Candidate 0000142ISWARI ESPAÑA                                     0000003000001300
Candidate 0000146FRANCISCO HERRERA                                 0000003000001400
Candidate 0000124RICHIE GREENBERG                                  0000004000000900
Candidate 0000138NORMAN YEE                                        0000004000001200
Candidate 0000143JOSHUA ARCE                                       0000004000001300
Candidate 0000147BERTA HERNANDEZ                                   0000004000001400
Candidate 0000006WRITE-IN                                          0000005000001310
Candidate 0000125DAVID LEE                                         0000005000000900
Candidate 0000139BEN MATRANGA                                      0000005000001200
Candidate 0000148KIM ALVARENGA                                     0000005000001400
Candidate 0000005WRITE-IN                                          0000006000001210
Candidate 0000007WRITE-IN                                          0000006000001410
Candidate 0000126BRIAN J. LARKIN                                   0000006000000900
Candidate 0000127JONATHAN LYENS                                    0000007000000900
Candidate 0000128SANDRA LEE FEWER                                  0000008000000900
Candidate 0000129ANDY THORNLEY                                     0000009000000900
Candidate 0000130JASON JUNGREIS                                    0000010000000900
Candidate 0000002WRITE-IN                                          0000011000000910
Contest   0000009Board of Supervisors, District 1                  0000012000000000
Contest   0000010Board of Supervisors, District 3                  0000013000000000
Contest   0000011Board of Supervisors, District 5                  0000014000000000
Contest   0000012Board of Supervisors, District 7                  0000015000000000
Contest   0000013Board of Supervisors, District 9                  0000016000000000
Contest   0000014Board of Supervisors, District 11                 0000017000000000
Precinct  0000001Pct 1101                                          0000001000000000
Precinct  0000002Pct 1102                                          0000002000000000
Precinct  0000003Pct 1103                                          0000003000000000
Precinct  0000004Pct 1104/1105                                     0000004000000000
Precinct  0000005Pct 1106                                          0000005000000000
Precinct  0000006Pct 1107                                          0000006000000000
Precinct  0000007Pct 1108                                          0000007000000000
Precinct  0000008Pct 1109                                          0000008000000000
Precinct  0000009Pct 1111                                          0000009000000000
Precinct  0000010Pct 1112                                          0000010000000000
Precinct  0000011Pct 1113                                          0000011000000000
Precinct  0000012Pct 1114                                          0000012000000000
Precinct  0000013Pct 1115                                          0000013000000000
Precinct  0000014Pct 1116                                          0000014000000000
Precinct  0000015Pct 1117                                          0000015000000000
Precinct  0000016Pct 1118                                          0000016000000000
Precinct  0000017Pct 1119                                          0000017000000000
Precinct  0000018Pct 1121                                          0000018000000000
Precinct  0000019Pct 1122                                          0000019000000000
Precinct  0000020Pct 1123                                          0000020000000000
Precinct  0000021Pct 1124                                          0000021000000000
Precinct  0000022Pct 1125                                          0000022000000000
Precinct  0000023Pct 1126                                          0000023000000000
Precinct  0000024Pct 1127                                          0000024000000000
Precinct  0000025Pct 1128                                          0000025000000000
Precinct  0000026Pct 1129                                          0000026000000000
Precinct  0000027Pct 1131                                          0000027000000000
Precinct  0000028Pct 1132                                          0000028000000000
Precinct  0000029Pct 1133                                          0000029000000000
Precinct  0000030Pct 1134                                          0000030000000000
Precinct  0000031Pct 1135                                          0000031000000000
Precinct  0000032Pct 1136                                          0000032000000000
Precinct  0000033Pct 1141                                          0000033000000000
Precinct  0000034Pct 1142                                          0000034000000000
Precinct  0000035Pct 1143                                          0000035000000000
Precinct  0000036Pct 1144                                          0000036000000000
Precinct  0000037Pct 1145                                          0000037000000000
Precinct  0000038Pct 1146                                          0000038000000000
Precinct  0000039Pct 1147                                          0000039000000000
Precinct  0000040Pct 1148                                          0000040000000000
Precinct  0000041Pct 1149                                          0000041000000000
Precinct  0000042Pct 1151 MB                                       0000042000000000
Precinct  0000043Pct 1152                                          0000043000000000
Precinct  0000044Pct 1153                                          0000044000000000
Precinct  0000045Pct 1154 MB                                       0000045000000000
Precinct  0000046Pct 7001                                          0000046000000000
Precinct  0000047Pct 7002                                          0000047000000000
Precinct  0000048Pct 7003                                          0000048000000000
Precinct  0000049Pct 7004                                          0000049000000000
Precinct  0000050Pct 7005                                          0000050000000000
Precinct  0000051Pct 7006                                          0000051000000000
Precinct  0000052Pct 7007                                          0000052000000000
Precinct  0000053Pct 7008                                          0000053000000000
Precinct  0000054Pct 7009                                          0000054000000000
Precinct  0000055Pct 7011                                          0000055000000000
Precinct  0000056Pct 7012                                          0000056000000000
Precinct  0000057Pct 7013                                          0000057000000000
Precinct  0000058Pct 7014                                          0000058000000000
Precinct  0000059Pct 7015 MB                                       0000059000000000
Precinct  0000060Pct 7016                                          0000060000000000
Precinct  0000061Pct 7017                                          0000061000000000
Precinct  0000062Pct 7018                                          0000062000000000
Precinct  0000063Pct 7019                                          0000063000000000
Precinct  0000064Pct 7021                                          0000064000000000
Precinct  0000065Pct 7022                                          0000065000000000
Precinct  0000066Pct 7023                                          0000066000000000
Precinct  0000067Pct 7024                                          0000067000000000
Precinct  0000068Pct 7025                                          0000068000000000
Precinct  0000069Pct 7026                                          0000069000000000
Precinct  0000070Pct 7027                                          0000070000000000
Precinct  0000071Pct 7028                                          0000071000000000
Precinct  0000072Pct 7029                                          0000072000000000
Precinct  0000073Pct 7030                                          0000073000000000
Precinct  0000074Pct 7031                                          0000074000000000
Precinct  0000075Pct 7032                                          0000075000000000
Precinct  0000076Pct 7033                                          0000076000000000
Precinct  0000077Pct 7034                                          0000077000000000
Precinct  0000078Pct 7035                                          0000078000000000
Precinct  0000079Pct 7036                                          0000079000000000
Precinct  0000080Pct 7037                                          0000080000000000
Precinct  0000081Pct 7038                                          0000081000000000
Precinct  0000082Pct 7039                                          0000082000000000
Precinct  0000083Pct 7041 MB                                       0000083000000000
Precinct  0000084Pct 7042                                          0000084000000000
Precinct  0000085Pct 7043                                          0000085000000000
Precinct  0000086Pct 7044                                          0000086000000000
Precinct  0000087Pct 7045                                          0000087000000000
Precinct  0000088Pct 7046                                          0000088000000000
Precinct  0000089Pct 7047                                          0000089000000000
Precinct  0000090Pct 7048                                          0000090000000000
Precinct  0000091Pct 7049                                          0000091000000000
Precinct  0000092Pct 7051                                          0000092000000000
Precinct  0000093Pct 7052                                          0000093000000000
Precinct  0000094Pct 7053                                          0000094000000000
Precinct  0000095Pct 7054                                          0000095000000000
Precinct  0000096Pct 7101 MB                                       0000096000000000
Precinct  0000097Pct 7201                                          0000097000000000
Precinct  0000098Pct 7202                                          0000098000000000
Precinct  0000099Pct 7203                                          0000099000000000
Precinct  0000100Pct 7204                                          0000100000000000
Precinct  0000101Pct 7205                                          0000101000000000
Precinct  0000102Pct 7206                                          0000102000000000
Precinct  0000103Pct 7207                                          0000103000000000
Precinct  0000104Pct 7208                                          0000104000000000
Precinct  0000105Pct 7209                                          0000105000000000
Precinct  0000106Pct 7301                                          0000106000000000
Precinct  0000107Pct 7302                                          0000107000000000
Precinct  0000108Pct 7303                                          0000108000000000
Precinct  0000109Pct 7304                                          0000109000000000
Precinct  0000110Pct 7305                                          0000110000000000
Precinct  0000111Pct 7306                                          0000111000000000
Precinct  0000112Pct 7307                                          0000112000000000
Precinct  0000113Pct 7308                                          0000113000000000
Precinct  0000114Pct 7309                                          0000114000000000
Precinct  0000115Pct 7311                                          0000115000000000
Precinct  0000116Pct 7312                                          0000116000000000
Precinct  0000117Pct 7313                                          0000117000000000
Precinct  0000118Pct 7314                                          0000118000000000
Precinct  0000119Pct 7315                                          0000119000000000
Precinct  0000120Pct 7316                                          0000120000000000
Precinct  0000121Pct 7317                                          0000121000000000
Precinct  0000122Pct 7318                                          0000122000000000
Precinct  0000123Pct 7319                                          0000123000000000
Precinct  0000124Pct 7321                                          0000124000000000
Precinct  0000125Pct 7322                                          0000125000000000
Precinct  0000126Pct 7323                                          0000126000000000
Precinct  0000127Pct 7324                                          0000127000000000
Precinct  0000128Pct 7325                                          0000128000000000
Precinct  0000129Pct 7326                                          0000129000000000
Precinct  0000130Pct 7327                                          0000130000000000
Precinct  0000131Pct 7328                                          0000131000000000
Precinct  0000132Pct 7329                                          0000132000000000
Precinct  0000133Pct 7331                                          0000133000000000
Precinct  0000134Pct 7332                                          0000134000000000
Precinct  0000135Pct 7333                                          0000135000000000
Precinct  0000136Pct 7334                                          0000136000000000
Precinct  0000137Pct 7335                                          0000137000000000
Precinct  0000138Pct 7336                                          0000138000000000
Precinct  0000139Pct 7337                                          0000139000000000
Precinct  0000140Pct 7338                                          0000140000000000
Precinct  0000141Pct 7339                                          0000141000000000
Precinct  0000142Pct 7341                                          0000142000000000
Precinct  0000143Pct 7342                                          0000143000000000
Precinct  0000144Pct 7343                                          0000144000000000
Precinct  0000145Pct 7344                                          0000145000000000
Precinct  0000146Pct 7345                                          0000146000000000
Precinct  0000147Pct 7346                                          0000147000000000
Precinct  0000148Pct 7347                                          0000148000000000
Precinct  0000149Pct 7348                                          0000149000000000
Precinct  0000150Pct 7349                                          0000150000000000
Precinct  0000151Pct 7501                                          0000151000000000
Precinct  0000152Pct 7502                                          0000152000000000
Precinct  0000153Pct 7503                                          0000153000000000
Precinct  0000154Pct 7504                                          0000154000000000
Precinct  0000155Pct 7505                                          0000155000000000
Precinct  0000156Pct 7506                                          0000156000000000
Precinct  0000157Pct 7507                                          0000157000000000
Precinct  0000158Pct 7508                                          0000158000000000
Precinct  0000159Pct 7509/7511                                     0000159000000000
Precinct  0000160Pct 7512                                          0000160000000000
Precinct  0000161Pct 7513                                          0000161000000000
Precinct  0000162Pct 7514                                          0000162000000000
Precinct  0000163Pct 7515                                          0000163000000000
Precinct  0000164Pct 7516                                          0000164000000000
Precinct  0000165Pct 7517                                          0000165000000000
Precinct  0000166Pct 7518                                          0000166000000000
Precinct  0000167Pct 7519                                          0000167000000000
Precinct  0000168Pct 7521                                          0000168000000000
Precinct  0000169Pct 7522                                          0000169000000000
Precinct  0000170Pct 7523                                          0000170000000000
Precinct  0000171Pct 7524                                          0000171000000000
Precinct  0000172Pct 7525                                          0000172000000000
Precinct  0000173Pct 7526                                          0000173000000000
Precinct  0000174Pct 7527/7528                                     0000174000000000
Precinct  0000175Pct 7529                                          0000175000000000
Precinct  0000176Pct 7531                                          0000176000000000
Precinct  0000177Pct 7532                                          0000177000000000
Precinct  0000178Pct 7533                                          0000178000000000
Precinct  0000179Pct 7534                                          0000179000000000
Precinct  0000180Pct 7535                                          0000180000000000
Precinct  0000181Pct 7536                                          0000181000000000
Precinct  0000182Pct 7537                                          0000182000000000
Precinct  0000183Pct 7538                                          0000183000000000
Precinct  0000184Pct 7539                                          0000184000000000
Precinct  0000185Pct 7541                                          0000185000000000
Precinct  0000186Pct 7542                                          0000186000000000
Precinct  0000187Pct 7543                                          0000187000000000
Precinct  0000188Pct 7544                                          0000188000000000
Precinct  0000189Pct 7545                                          0000189000000000
Precinct  0000190Pct 7546                                          0000190000000000
Precinct  0000191Pct 7547                                          0000191000000000
Precinct  0000192Pct 7548                                          0000192000000000
Precinct  0000193Pct 7549                                          0000193000000000
Precinct  0000194Pct 7551                                          0000194000000000
Precinct  0000195Pct 7552                                          0000195000000000
Precinct  0000196Pct 7553 MB                                       0000196000000000
Precinct  0000197Pct 7554                                          0000197000000000
Precinct  0000198Pct 7555                                          0000198000000000
Precinct  0000199Pct 7556/7557                                     0000199000000000
Precinct  0000200Pct 7601                                          0000200000000000
Precinct  0000201Pct 7602                                          0000201000000000
Precinct  0000202Pct 7603                                          0000202000000000
Precinct  0000203Pct 7604                                          0000203000000000
Precinct  0000204Pct 7605                                          0000204000000000
Precinct  0000205Pct 7606                                          0000205000000000
Precinct  0000206Pct 7607                                          0000206000000000
Precinct  0000207Pct 7608                                          0000207000000000
Precinct  0000208Pct 7609                                          0000208000000000
Precinct  0000209Pct 7611                                          0000209000000000
Precinct  0000210Pct 7612                                          0000210000000000
Precinct  0000211Pct 7613                                          0000211000000000
Precinct  0000212Pct 7614                                          0000212000000000
Precinct  0000213Pct 7615                                          0000213000000000
Precinct  0000214Pct 7616                                          0000214000000000
Precinct  0000215Pct 7617                                          0000215000000000
Precinct  0000216Pct 7618                                          0000216000000000
Precinct  0000217Pct 7619                                          0000217000000000
Precinct  0000218Pct 7621                                          0000218000000000
Precinct  0000219Pct 7622                                          0000219000000000
Precinct  0000220Pct 7623                                          0000220000000000
Precinct  0000221Pct 7624                                          0000221000000000
Precinct  0000222Pct 7625                                          0000222000000000
Precinct  0000223Pct 7626                                          0000223000000000
Precinct  0000224Pct 7627                                          0000224000000000
Precinct  0000225Pct 7628                                          0000225000000000
Precinct  0000226Pct 7629                                          0000226000000000
Precinct  0000227Pct 7631                                          0000227000000000
